بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,دهن يمكث من نمسات نجد NASAMAT NAJD OIL,العطور,,دهن يمكث من نمسات نجد NASAMAT NAJD OIL,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,دهن يمكث من نمسات نجد NASAMAT NAJD OIL |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر سانتا أولاليا أوديسيا او دو بارفيوم 75 مل,العطور,,عطر سانتا أولاليا أوديسيا او دو بارفيوم 75 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر سانتا أولاليا أوديسيا او دو بارفيوم 75 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر سانتا يولاليا 175 أو دي بارفان 75 مل,العطور,,عطر سانتا يولاليا 175 أو دي بارفان 75 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر سانتا يولاليا 175 أو دي بارفان 75 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر سوبليم فانيل من كريد,العطور,,عينة عطر سوبليم فانيل من كريد,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر سوبليم فانيل من كريد |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,بيبر منتس كرات معطرة للفم بالنعناع البارد - 18 كبسوله,العطور,,بيبر منتس كرات معطرة للفم بالنعناع البارد - 18 كبسوله,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,بيبر منتس كرات معطرة للفم بالنعناع البارد - 18 كبسوله |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,سيرافي منظف منعم للبشرة بحمض الساليسيليك - 473مل,العطور,,سيرافي منظف منعم للبشرة بحمض الساليسيليك - 473مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,سيرافي منظف منعم للبشرة بحمض الساليسيليك - 473مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,تونج معجون تنظيف اللسان بالزنك والنعناع المنعش - 85 جم,العطور,,تونج معجون تنظيف اللسان بالزنك والنعناع المنعش - 85 جم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,تونج معجون تنظيف اللسان بالزنك والنعناع المنعش - 85 جم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,ورال-بي خيط تنظيف الأسنان - 50 متر,العطور,,ورال-بي خيط تنظيف الأسنان - 50 متر,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,ورال-بي خيط تنظيف الأسنان - 50 متر |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,أحمر شفاه روج سائل مطفي سنسيشنال من فور إيفر 52,العطور,,أحمر شفاه روج سائل مطفي سنسيشنال من فور إيفر 52,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,أحمر شفاه روج سائل مطفي سنسيشنال من فور إيفر 52 |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر أوبوس 1144 إكستريت من فيليبو سورشينيلي دو بارفان,العطور,,عينة عطر أوبوس 1144 إكستريت من فيليبو سورشينيلي دو بارفان,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر أوبوس 1144 إكستريت من فيليبو سورشينيلي دو بارفان |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
