اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
مجموعة باكو رابان ون مليون او دي تواليت (عطر 100ملي + بخاخ عطر 10ملي + بخاخ مزيل للعرق 150ملي,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2e03ca6c-3226-4aff-a81a-df20ac486859-500x500-1bdIEaCwLucVtLdcFW5JvRWXfbu0TPLlDN41ihh1.png",511,متجر ساراء ميكاب.csv,تستر عطر باكو رابان كالندر او دو تواليت 100مل,65.9,GOLDEN-GRAY,باكو رابان,review,,
آلة العطور العطرية الأوتوماتيكية,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/56b74f45-d0db-45be-a31b-f64eeca42a08-500x500-vh475vFVGVT6LJPAHL4OX6Db8CDKJgKz1lZaVTD8.jpg",20,متجر ساراء ميكاب.csv,مبخرة كهربائية متنقلة صغيرة قابلة للشحن,55.3,GOLDEN-GRAY,,review,,
عطر لاكوست ابيض الرجالي او دي بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0e0edd24-6644-4b24-8231-82a27fd00ce4-500x500-vum66dG3hKykP0OnIF4Z3NyDAynLuwLfkbS4PUdM.png",213,متجر ساراء ميكاب.csv,عطر لاكوست الابيض الرجالي او دو تواليت 100مل,83.5,GOLDEN-GRAY,لاكوست,review,,
عطر لاكوست روز ايو انتنس او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f9a54a69-ae9e-4e54-9746-2ba0f3f181d5-500x500-zeCD9NNaEGAVc18EpTI2B3O6jBccmNW9crD1haLc.png",287,متجر ساراء ميكاب.csv,عطر لاكوست لاهوم او دو تواليت 100مل,82.7,GOLDEN-GRAY,لاكوست,review,,
عطر الشعر ذا ون من دولتشي اند غابانا للنساء 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5b1ab611-b997-4bc9-bbca-79956ff41bfe-500x500-sMSQZF6MfUBBNfaOrvkAyUjeT7n8HIFzEJozCV7e.png",247,متجر ساراء ميكاب.csv,عطر شعر دولتشي آند غابانا ذا أونلي ون 30مل,65.6,GOLDEN-GRAY,,review,,
عطر الرجال بي كينج او دو بارفيوم من جيبرليز -100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/970614ce-66b7-450c-b41e-f747e7d1eedc-500x500-WuqFTlxNTWXDcyhR2IEG2P9Nqic7xeC0FwNP3USa.png",112,متجر ساراء ميكاب.csv,عطر جيرلان لينستانت الرجالي او دو بارفيوم 100مل,57.0,GOLDEN-GRAY,جيبرليز,review,,
عطر الشعر عود فور جريتنس من إنيشيو 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/3cc8e6a7-ebbe-4a23-8120-a21dee34352d-375x500-OOxIocL7eY6q1Dil1oB5xZroGZ0bLik5Jc05K6Ia.png",373,متجر ساراء ميكاب.csv,عطر الشعر انيشيو عود فور جريتنس 50 مل,87.9,GOLDEN-GRAY,انيشيو,review,,
عطر الشعر مسك ثيرابي من إنيشيو 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b898fde1-745f-4928-80c6-635ba204015f-500x500-tDjqbtk0KnNaN9nkHPwhKkWwEiYMsfBVmiML3o2y.png",373,متجر ساراء ميكاب.csv,عطر الشعر انيشيو مسك ثيرابي 50 مل,86.7,GOLDEN-GRAY,انيشيو,review,,
عطر الشعر أتوميك روز من إنيشيو ٥٠ مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/323ceebc-406a-4d1d-8761-a5ac92c53fd5-404.85829959514x500-euAN2slc6EW2mPjqPiwsnGh5a9MQhpZCZDZifhy3.png",373,متجر ساراء ميكاب.csv,عطر إنيشيو أتوميك للشعر أو دو بارفيوم 50 مل,69.4,GOLDEN-GRAY,انيشيو,review,,
مجموعة هدايا عطر سيجنتشر امبر او دي بارفيوم (100 مل + عينة 15 مل ),"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0a30bfd6-8c1f-4b0e-91bd-06ffe353b1f3-500x500-Yxrf4GFsyxFPdgDO2rdHcPVJgEzpts4S25NOlDNS.png",437,متجر ساراء ميكاب.csv,عطر سيجنتشر سيلاجيد أورينت دايموند أو دو بارفيوم 100 مل + 15 مل,77.4,GOLDEN-GRAY,سيجنتشر,review,,
